country,code,2016
Austria,AUT,22400
Belgium,BEL,33800
Bulgaria,BGR,31300
Switzerland,CHE,20950
Czech Republic,CZE,23200
Germany,DEU,179100
Denmark,DNK,16100
Spain,ESP,197950
Estonia,EST,6400
Finland,FIN,24200
France,FRA,306100
United Kingdom,GBR,150250
Greece,GRC,145350
Croatia,HRV,18550
Hungary,HUN,39800
Italy,ITA,356850
Lithuania,LTU,29650
Norway,NOR,23950
Poland,POL,178400
Portugal,PRT,74500
Romania,ROU,149200
Serbia,SRB,31850
Slovenia,SVN,13200
Sweden,SWE,30550
Turkey,TUR,512000
Ukraine,UKR,292000
