country,code,expenditure
Austria,AUT,0.729355232450811
Belgium,BEL,0.909485093747525
Bulgaria,BGR,1.55429169023427
Switzerland,CHE,0.683630212886557
Czech Republic,CZE,1.05176691235589
Germany,DEU,1.22013587055547
Denmark,DNK,1.1743563530405
Spain,ESP,1.24256230721419
Estonia,EST,2.098303197163
Finland,FIN,1.4377584242957
France,FRA,2.25522862089854
United Kingdom,GBR,1.83483677072318
Greece,GRC,2.50615718393274
Croatia,HRV,1.43693076288569
Hungary,HUN,1.05492693100073
Italy,ITA,1.52231264638547
Lithuania,LTU,1.74849355409919
Norway,NOR,1.64337591312092
Poland,POL,1.95678562509467
Portugal,PRT,1.73364324954249
Romania,ROU,1.97166664740767
Serbia,SRB,1.8285005701376
Slovenia,SVN,0.998213669123627
Sweden,SWE,1.0252538976416
Turkey,TUR,2.17813995150133
Ukraine,UKR,3.41297458636394
